Source,Destination,Path,PathDelay,PathCost
10,22,10->15->18->22,15,15
10,22,10->9->12->17->22,16,16
10,23,10->15->18->23,14,14
10,23,10->9->12->17->23,18,18
11,0,11->12->8->0,12,12
11,0,11->17->12->9->0,18,18
11,1,11->12->8->0->1,14,14
11,1,11->8->2->1,21,21
11,2,11->12->8->2,13,13
11,2,11->8->0->1->2,22,22
11,3,11->12->8->2->3,20,20
11,3,11->8->7->6->5->4->3,27,27
11,4,11->12->8->7->6->5->4,22,22
11,4,11->8->2->3->4,25,25
11,5,11->12->8->7->6->5,21,21
11,5,11->8->2->3->4->5,26,26
11,6,11->12->8->7->6,18,18
11,6,11->8->2->3->4->5->6,29,29
11,7,11->12->8->7,14,14
11,7,11->17->14->7,21,21
11,8,11->12->8,8,8
11,8,11->8,10,10
11,9,11->12->9,9,9
11,9,11->10->9,13,13
11,10,11->10,6,6
11,10,11->12->9->10,16,16
11,12,11->12,6,6
11,12,11->17->12,10,10
11,13,11->12->13,10,10
11,13,11->17->14->13,15,15
11,14,11->12->14,12,12
11,14,11->17->14,13,13
11,15,11->10->15,12,12
11,15,11->17->15,15,15
11,16,11->17->16,10,10
11,16,11->12->17->23->16,18,18
11,17,11->17,7,7
11,17,11->12->17,9,9
11,18,11->17->18,12,12
11,18,11->12->17->22->18,14,14
11,19,11->12->13->19,15,15
11,19,11->17->22->18->19,17,17
11,20,11->12->13->19->20,17,17
11,20,11->17->22->18->21->20,18,18
11,21,11->17->18->21,13,13
11,21,11->12->17->22->21,17,17
11,22,11->17->22,10,10
11,22,11->12->17->18->22,16,16
11,23,11->17->23,12,12
11,23,11->12->17->22->18->23,15,15
12,0,12->8->0,6,6
12,0,12->9->0,8,8
12,1,12->8->0->1,8,8
12,1,12->13->14->8->2->1,23,23
12,2,12->8->2,7,7
12,2,12->9->0->1->2,16,16
12,3,12->8->2->3,14,14
12,3,12->13->7->6->5->4->3,22,22
12,4,12->8->7->6->5->4,16,16
12,4,12->9->0->1->2->3->4,26,26
12,5,12->8->7->6->5,15,15
12,5,12->9->0->1->2->3->4->5,27,27
12,6,12->8->7->6,12,12
12,6,12->9->0->1->2->3->4->5->6,30,30
12,7,12->8->7,8,8
12,7,12->13->7,11,11
12,8,12->8,2,2
12,8,12->13->14->8,12,12
12,9,12->9,3,3
12,9,12->8->9,11,11
12,10,12->9->10,10,10
12,10,12->11->10,12,12
12,11,12->11,6,6
12,11,12->17->11,10,10
12,13,12->13,4,4
12,13,12->14->13,8,8
12,14,12->14,6,6
12,14,12->13->14,6,6
12,15,12->17->15,11,11
12,15,12->9->10->15,16,16
12,16,12->17->16,6,6
12,16,12->13->14->18->23->16,17,17
12,17,12->17,3,3
12,17,12->13->14->17,12,12
12,18,12->17->18,8,8
12,18,12->13->14->18,12,12
12,19,12->13->19,9,9
12,19,12->17->22->18->19,13,13
12,20,12->13->19->20,11,11
12,20,12->17->22->18->21->20,14,14
12,21,12->17->18->21,9,9
12,21,12->13->19->20->21,16,16
12,22,12->17->22,6,6
12,22,12->13->14->18->22,14,14
12,23,12->17->23,8,8
12,23,12->13->14->18->23,13,13
13,0,13->12->8->0,10,10
13,0,13->14->12->9->0,16,16
13,1,13->12->8->0->1,12,12
13,1,13->14->8->2->1,19,19
13,2,13->12->8->2,11,11
13,2,13->14->8->0->1->2,20,20
13,3,13->12->8->2->3,18,18
13,3,13->7->6->5->4->3,18,18
13,4,13->7->6->5->4,15,15
13,4,13->12->8->2->3->4,21,21
13,5,13->7->6->5,14,14
13,5,13->12->8->2->3->4->5,22,22
13,6,13->7->6,11,11
13,6,13->12->8->2->3->4->5->6,25,25
13,7,13->7,7,7
13,7,13->14->7,10,10
13,8,13->12->8,6,6
13,8,13->14->8,8,8
13,9,13->12->9,7,7
13,9,13->14->8->9,17,17
13,10,13->12->9->10,14,14
13,10,13->14->12->11->10,20,20
13,11,13->12->11,10,10
13,11,13->14->17->11,15,15
13,12,13->12,4,4
13,12,13->14->12,8,8
13,14,13->14,2,2
13,14,13->12->14,10,10
13,15,13->12->17->15,15,15
13,15,13->14->18->15,15,15
13,16,13->12->17->16,10,10
13,16,13->14->18->23->16,13,13
13,17,13->12->17,7,7
13,17,13->14->17,8,8
13,18,13->14->18,8,8
13,18,13->19->18,10,10
13,19,13->19,5,5
13,19,13->14->19,11,11
13,20,13->19->20,7,7
13,20,13->14->18->21->20,14,14
13,21,13->14->18->21,9,9
13,21,13->19->20->21,12,12
13,22,13->12->17->22,10,10
13,22,13->14->18->22,10,10
13,23,13->14->18->23,9,9
13,23,13->12->17->23,12,12
14,0,14->8->0,10,10
14,0,14->12->9->0,14,14
14,1,14->8->0->1,12,12
14,1,14->12->8->2->1,19,19
14,2,14->8->2,11,11
14,2,14->12->8->0->1->2,20,20
14,3,14->8->2->3,18,18
14,3,14->7->6->5->4->3,19,19
14,4,14->7->6->5->4,16,16
14,4,14->8->2->3->4,21,21
14,5,14->7->6->5,15,15
14,5,14->8->2->3->4->5,22,22
14,6,14->7->6,12,12
14,6,14->8->2->3->4->5->6,25,25
14,7,14->7,8,8
14,7,14->13->7,9,9
14,8,14->8,6,6
14,8,14->12->8,8,8
14,9,14->12->9,9,9
14,9,14->8->9,15,15
14,10,14->12->9->10,16,16
14,10,14->13->12->11->10,18,18
14,11,14->12->11,12,12
14,11,14->17->11,13,13
14,12,14->12,6,6
14,12,14->13->12,6,6
14,13,14->13,2,2
14,13,14->12->13,10,10
14,15,14->18->15,13,13
14,15,14->17->15,14,14
14,16,14->17->16,9,9
14,16,14->18->23->16,11,11
14,17,14->17,6,6
14,17,14->12->17,9,9
14,18,14->18,6,6
14,18,14->17->22->18,11,11
14,19,14->13->19,7,7
14,19,14->19,9,9
14,20,14->13->19->20,9,9
14,20,14->18->21->20,12,12
14,21,14->18->21,7,7
14,21,14->17->22->21,14,14
14,22,14->18->22,8,8
14,22,14->17->22,9,9
14,23,14->18->23,7,7
14,23,14->17->23,11,11
15,0,15->17->12->8->0,17,17
15,0,15->10->9->0,18,18
15,1,15->17->12->8->0->1,19,19
15,1,15->18->14->8->2->1,30,30
15,2,15->17->12->8->2,18,18
15,2,15->10->9->0->1->2,26,26
15,3,15->17->12->8->2->3,25,25
15,3,15->18->14->7->6->5->4->3,32,32
15,4,15->17->12->8->7->6->5->4,27,27
15,4,15->18->14->8->2->3->4,34,34
15,5,15->17->12->8->7->6->5,26,26
15,5,15->18->14->8->2->3->4->5,35,35
15,6,15->17->12->8->7->6,23,23
15,6,15->18->14->8->2->3->4->5->6,38,38
15,7,15->17->12->8->7,19,19
15,7,15->18->14->7,21,21
15,8,15->17->12->8,13,13
15,8,15->18->14->8,19,19
15,9,15->10->9,13,13
15,9,15->17->12->9,14,14
15,10,15->10,6,6
15,10,15->17->11->10,21,21
15,11,15->10->11,12,12
15,11,15->17->11,15,15
15,12,15->17->12,11,11
15,12,15->10->9->12,16,16
15,13,15->17->12->13,15,15
15,13,15->18->14->13,15,15
15,14,15->18->14,13,13
15,14,15->17->14,14,14
15,16,15->16,9,9
15,16,15->17->16,11,11
15,17,15->17,8,8
15,17,15->18->22->17,12,12
15,18,15->18,7,7
15,18,15->17->22->18,13,13
15,19,15->18->19,12,12
15,19,15->17->12->13->19,20,20
15,20,15->18->20,13,13
15,20,15->17->22->18->21->20,19,19
15,21,15->18->21,8,8
15,21,15->17->22->21,16,16
15,22,15->18->22,9,9
15,22,15->17->22,11,11
15,23,15->18->23,8,8
15,23,15->17->23,13,13
16,0,16->17->12->8->0,12,12
16,0,16->23->18->14->12->9->0,25,25
16,1,16->17->12->8->0->1,14,14
16,1,16->23->18->14->8->2->1,28,28
16,2,16->17->12->8->2,13,13
16,2,16->23->18->14->8->0->1->2,29,29
16,3,16->17->12->8->2->3,20,20
16,3,16->23->18->14->7->6->5->4->3,30,30
16,4,16->17->12->8->7->6->5->4,22,22
16,4,16->23->18->14->8->2->3->4,32,32
16,5,16->17->12->8->7->6->5,21,21
